wavelength_Angstroms,flux,uncertainty
12902.76,1.0162,0.11
12902.94,0.9276,0.11
12903.13,0.8873,0.11
12903.31,0.8877,0.11
12903.49,1.074,0.11
12903.68,1.0844,0.11
12903.86,0.9274,0.11
12904.05,1.1774,0.11
12904.23,1.2611,0.11
12904.42,1.1818,0.11
12904.6,1.1776,0.11
12904.79,0.8252,0.11
12904.97,1.1768,0.11
12905.16,1.0815,0.11
12905.34,0.9765,0.11
12905.52,1.1543,0.11
12905.71,1.1938,0.11
12905.89,0.9463,0.11
12906.08,1.039,0.11
12906.26,0.9133,0.11
12906.45,1.0979,0.11
12906.63,0.9998,0.11
12906.82,1.1213,0.11
12907.0,0.9109,0.11
12907.19,0.9114,0.11
12907.37,0.8711,0.11
12907.56,0.9783,0.11
12907.74,0.7963,0.11
12907.93,0.9333,0.11
12908.11,1.3021,0.11
12908.29,1.0074,0.11
12908.48,0.959,0.11
12908.66,0.9158,0.11
12908.85,0.8394,0.11
12909.03,1.0496,0.11
12909.22,0.7935,0.11
12909.4,0.8582,0.11
12909.59,0.8981,0.11
12909.77,0.6373,0.11
12909.96,0.7865,0.11
12910.14,0.8487,0.11
12910.33,0.6276,0.11
12910.51,0.6943,0.11
12910.69,0.8975,0.11
12910.88,0.8314,0.11
12911.06,0.9984,0.11
12911.25,0.9767,0.11
12911.43,0.8436,0.11
12911.62,0.7111,0.11
12911.8,0.8572,0.11
12911.99,0.6839,0.11
12912.17,0.8291,0.11
12912.36,0.7791,0.11
12912.54,0.7567,0.11
12912.73,0.7945,0.11
12912.91,0.8731,0.11
12913.1,0.9902,0.11
12913.28,0.8727,0.11
12913.46,0.6865,0.11
12913.65,0.652,0.11
12913.83,0.8202,0.11
12914.02,0.7283,0.11
12914.2,0.7215,0.11
12914.39,0.9073,0.11
12914.57,0.9215,0.11
12914.76,0.9491,0.11
12914.94,0.8482,0.11
12915.13,0.9573,0.11
12915.31,0.9003,0.11
12915.5,1.0071,0.11
12915.68,0.7753,0.11
12915.86,0.9042,0.11
12916.05,0.6949,0.11
12916.23,0.8168,0.11
12916.42,0.7218,0.11
12916.6,0.5855,0.11
12916.79,0.845,0.11
12916.97,0.7834,0.11
12917.16,0.7921,0.11
12917.34,0.8519,0.11
12917.53,0.8738,0.11
12917.71,0.8582,0.11
12917.9,0.7323,0.11
12918.08,0.7679,0.11
12918.26,0.9081,0.11
12918.45,0.8307,0.11
12918.63,0.7289,0.11
12918.82,0.7647,0.11
12919.0,0.6122,0.11
12919.19,0.8775,0.11
12919.37,0.9342,0.11
12919.56,0.906,0.11
12919.74,0.7998,0.11
12919.93,0.9903,0.11
12920.11,0.9907,0.11
12920.29,0.7857,0.11
12920.48,0.7638,0.11
12920.66,0.8116,0.11
12920.85,0.9915,0.11
12921.03,0.7272,0.11
12921.22,1.0523,0.11
12921.4,0.827,0.11
12921.59,1.0003,0.11
12921.77,0.9572,0.11
12921.96,1.0302,0.11
12922.14,1.0797,0.11
12922.32,0.9864,0.11
12922.51,1.1662,0.11
12922.7,1.0357,0.11
12922.88,0.9748,0.11
12923.06,1.0301,0.11
12923.25,1.0072,0.11
12923.43,1.0191,0.11
12923.62,0.8858,0.11
12923.8,0.8624,0.11
12923.99,0.771,0.11
12924.17,0.7946,0.11
12924.36,0.9943,0.11
12924.54,0.9277,0.11
12924.73,0.8402,0.11
12924.91,0.8914,0.11
12925.1,0.782,0.11
12925.28,0.8873,0.11
12925.46,0.8845,0.11
12925.65,0.875,0.11
12925.83,0.9437,0.11
12926.02,0.8245,0.11
12926.2,0.7583,0.11
12926.39,0.6706,0.11
12926.57,0.7211,0.11
12926.76,0.6877,0.11
12926.94,0.676,0.11
12927.13,0.6815,0.11
12927.31,0.7632,0.11
12927.49,0.9457,0.11
12927.68,0.7722,0.11
12927.86,0.5744,0.11
12928.05,0.7388,0.11
12928.23,0.8593,0.11
12928.42,0.9826,0.11
12928.6,0.9278,0.11
12928.79,1.018,0.11
12928.97,0.8037,0.11
12929.16,0.8997,0.11
12929.34,0.9966,0.11
12929.52,0.9494,0.11
12929.71,0.7966,0.11
12929.89,0.7688,0.11
12930.08,1.0169,0.11
12930.26,0.6087,0.11
12930.45,0.6888,0.11
12930.63,0.6589,0.11
12930.82,0.7194,0.11
12931.0,0.7198,0.11
12931.19,0.7076,0.11
12931.37,0.7411,0.11
12931.56,0.8827,0.11
12931.74,0.6302,0.11
12931.92,0.9093,0.11
12932.11,0.6825,0.11
12932.29,0.8978,0.11
12932.48,1.0093,0.11
12932.66,0.8529,0.11
12932.85,0.9317,0.11
12933.03,1.0409,0.11
12933.22,0.9669,0.11
12933.4,1.2388,0.11
12933.59,0.9556,0.11
12933.77,0.9776,0.11
12933.96,1.2915,0.11
12934.14,1.3588,0.11
12934.33,1.1248,0.11
12934.51,1.4008,0.11
12934.69,1.2264,0.11
12934.88,1.3031,0.11
12935.06,1.3582,0.11
12935.25,1.2401,0.11
12935.43,1.5031,0.11
12935.62,1.3511,0.11
12935.8,1.0435,0.11
12935.99,1.2089,0.11
12936.17,1.2298,0.11
12936.36,1.0003,0.11
12936.54,0.8347,0.11
12936.73,1.0229,0.11
12936.91,0.8347,0.11
12937.09,1.0751,0.11
12937.28,0.9399,0.11
12937.46,0.8795,0.11
12937.65,1.0761,0.11
12937.83,0.719,0.11
12938.02,0.7965,0.11
12938.2,0.7398,0.11
12938.39,0.8116,0.11
12938.57,1.1692,0.11
12938.76,0.8693,0.11
12938.94,0.9201,0.11
12939.13,0.9674,0.11
12939.31,0.9141,0.11
12939.5,0.7571,0.11
12939.68,0.9409,0.11
12939.86,1.1553,0.11
12940.05,1.0895,0.11
12940.23,1.1128,0.11
12940.42,1.0205,0.11
12940.6,1.2212,0.11
12940.79,1.3333,0.11
12940.97,1.1634,0.11
12941.16,1.2089,0.11
12941.34,1.3414,0.11
12941.53,1.2001,0.11
12941.71,1.2876,0.11
12941.9,1.1183,0.11
12942.08,1.2234,0.11
12942.26,1.2934,0.11
12942.45,1.0559,0.11
12942.63,1.1437,0.11
12942.82,1.1071,0.11
12943.0,1.101,0.11
12943.19,1.0619,0.11
12943.37,1.2359,0.11
12943.56,1.1595,0.11
12943.74,1.219,0.11
12943.93,1.2071,0.11
12944.11,1.1195,0.11
12944.29,1.1559,0.11
12944.48,1.0754,0.11
12944.66,1.0813,0.11
12944.85,0.9156,0.11
12945.03,0.8195,0.11
12945.22,0.7308,0.11
12945.4,0.5855,0.11
12945.59,0.7992,0.11
12945.77,0.6915,0.11
12945.96,0.5694,0.11
12946.14,0.7438,0.11
12946.32,0.8121,0.11
12946.51,0.8348,0.11
12946.69,0.8253,0.11
12946.88,0.9281,0.11
12947.06,0.9266,0.11
12947.25,0.8579,0.11
12947.43,0.9067,0.11
12947.62,0.6976,0.11
12947.8,0.6049,0.11
12947.99,0.7877,0.11
12948.17,0.8168,0.11
12948.36,0.6143,0.11
12948.54,0.601,0.11
12948.72,0.7141,0.11
12948.91,0.442,0.11
12949.1,0.5282,0.11
12949.28,0.6147,0.11
12949.46,0.554,0.11
12949.65,0.6812,0.11
12949.83,0.5919,0.11
12950.02,0.6088,0.11
12950.2,0.7483,0.11
12950.39,0.7817,0.11
12950.57,0.9558,0.11
12950.76,0.988,0.11
12950.94,0.8856,0.11
12951.13,1.0081,0.11
12951.31,1.1219,0.11
12951.49,0.7498,0.11
12951.68,0.7966,0.11
12951.86,0.7446,0.11
12952.05,0.6431,0.11
12952.23,0.794,0.11
12952.42,1.02,0.11
12952.6,1.0933,0.11
12952.79,1.0138,0.11
12952.97,1.156,0.11
12953.16,1.4313,0.11
12953.34,1.2421,0.11
12953.52,1.2009,0.11
12953.71,1.2984,0.11
12953.89,1.1578,0.11
12954.08,1.2979,0.11
12954.26,1.1392,0.11
12954.45,1.225,0.11
12954.63,1.1875,0.11
12954.82,1.0299,0.11
12955.0,0.8881,0.11
12955.19,0.8656,0.11
12955.37,0.6872,0.11
12955.56,0.8353,0.11
12955.74,0.79,0.11
12955.92,0.9715,0.11
12956.11,0.7178,0.11
12956.29,0.6197,0.11
12956.48,0.8176,0.11
12956.66,0.8309,0.11
12956.85,0.8499,0.11
12957.03,1.0193,0.11
12957.22,0.9925,0.11
12957.4,1.1672,0.11
12957.59,1.0546,0.11
12957.77,1.0272,0.11
12957.96,1.1557,0.11
12958.14,1.0377,0.11
12958.33,0.9926,0.11
12958.51,0.7583,0.11
12958.69,0.9108,0.11
12958.88,0.9104,0.11
12959.06,0.7181,0.11
12959.25,1.0868,0.11
12959.43,0.8279,0.11
12959.62,1.0863,0.11
12959.8,1.3138,0.11
12959.99,1.2114,0.11
12960.17,1.2493,0.11
12960.36,1.25,0.11
12960.54,1.1698,0.11
12960.73,1.0524,0.11
12960.91,0.8931,0.11
12961.09,0.908,0.11
12961.28,0.8597,0.11
12961.46,0.8066,0.11
12961.65,0.8698,0.11
12961.83,0.8207,0.11
12962.02,0.6645,0.11
12962.2,1.1484,0.11
12962.39,0.9428,0.11
12962.57,1.1065,0.11
12962.76,0.928,0.11
12962.94,0.9713,0.11
12963.13,1.1066,0.11
12963.31,0.9779,0.11
12963.5,0.9096,0.11
12963.68,1.2641,0.11
12963.86,1.0726,0.11
12964.05,0.9789,0.11
12964.23,1.1125,0.11
12964.42,0.9437,0.11
12964.6,0.9031,0.11
12964.79,0.8897,0.11
12964.97,0.856,0.11
12965.16,1.1535,0.11
12965.34,0.9596,0.11
12965.53,1.0438,0.11
12965.71,1.1694,0.11
12965.9,1.0087,0.11
12966.08,1.2038,0.11
12966.26,1.0706,0.11
12966.45,0.9939,0.11
12966.63,1.0677,0.11
12966.82,1.1501,0.11
12967.0,1.0826,0.11
12967.19,0.8681,0.11
12967.37,0.9515,0.11
12967.56,0.738,0.11
12967.74,0.8478,0.11
12967.93,0.8344,0.11
12968.11,0.6865,0.11
12968.29,0.6496,0.11
12968.48,0.4706,0.11
12968.66,0.7605,0.11
12968.85,0.779,0.11
12969.03,0.7291,0.11
12969.22,0.8718,0.11
12969.4,0.7999,0.11
12969.59,0.8692,0.11
12969.77,0.8902,0.11
12969.96,1.1188,0.11
12970.14,0.9579,0.11
12970.32,0.8984,0.11
12970.51,0.9378,0.11
12970.69,1.2142,0.11
12970.88,1.1877,0.11
12971.06,0.8534,0.11
12971.25,1.1979,0.11
12971.43,1.1395,0.11
12971.62,0.8595,0.11
12971.8,0.8914,0.11
12971.99,0.8955,0.11
12972.17,0.9245,0.11
12972.36,0.9541,0.11
12972.54,0.9711,0.11
12972.72,0.7928,0.11
12972.91,0.9543,0.11
12973.09,0.6495,0.11
12973.28,0.9768,0.11
12973.46,0.8234,0.11
12973.65,1.0255,0.11
12973.83,0.974,0.11
12974.02,0.8338,0.11
12974.2,1.0182,0.11
12974.39,0.8856,0.11
12974.57,0.9394,0.11
12974.76,0.8851,0.11
12974.94,1.0599,0.11
12975.12,0.9704,0.11
12975.31,1.1896,0.11
12975.49,0.9666,0.11
12975.68,1.1774,0.11
12975.86,1.1997,0.11
12976.05,1.0197,0.11
12976.23,0.9045,0.11
12976.42,1.2935,0.11
12976.6,1.0593,0.11
12976.79,0.7131,0.11
12976.97,0.8383,0.11
12977.16,0.8023,0.11
12977.34,0.978,0.11
12977.52,0.9525,0.11
12977.71,0.915,0.11
12977.89,0.932,0.11
12978.08,0.7643,0.11
12978.26,1.0633,0.11
12978.45,1.1658,0.11
12978.63,1.1423,0.11
12978.82,1.0243,0.11
12979.0,1.1031,0.11
12979.19,1.0945,0.11
12979.37,1.0569,0.11
12979.56,1.0279,0.11
12979.74,1.2247,0.11
12979.92,1.1174,0.11
12980.11,1.1057,0.11
12980.29,1.091,0.11
12980.48,1.1821,0.11
12980.66,1.1479,0.11
12980.85,1.0713,0.11
12981.03,1.2421,0.11
12981.22,0.9046,0.11
12981.4,0.9234,0.11
12981.59,1.0601,0.11
12981.77,1.0934,0.11
12981.96,1.0564,0.11
12982.14,1.215,0.11
12982.33,0.9986,0.11
12982.51,1.0068,0.11
12982.69,1.0989,0.11
12982.88,1.0507,0.11
12983.06,1.0309,0.11
12983.25,1.0869,0.11
12983.43,1.1404,0.11
12983.62,1.0461,0.11
12983.8,1.0779,0.11
12983.99,0.9743,0.11
12984.17,1.097,0.11
12984.36,0.9146,0.11
12984.54,0.9285,0.11
12984.73,0.8932,0.11
12984.91,0.8993,0.11
12985.09,1.1,0.11
12985.28,1.2452,0.11
12985.46,1.2325,0.11
12985.65,1.1011,0.11
12985.83,1.3324,0.11
12986.02,1.007,0.11
12986.2,1.0695,0.11
12986.39,1.1105,0.11
12986.57,1.0088,0.11
12986.76,1.1713,0.11
12986.94,0.8995,0.11
12987.12,1.0289,0.11
12987.31,0.8815,0.11
12987.49,1.0421,0.11
12987.68,1.127,0.11
12987.86,1.1272,0.11
12988.05,1.1384,0.11
12988.23,1.0404,0.11
12988.42,0.9514,0.11
12988.6,1.2247,0.11
12988.79,1.1464,0.11
12988.97,1.178,0.11
12989.16,1.2237,0.11
12989.34,0.8883,0.11
12989.53,1.1729,0.11
12989.71,1.1167,0.11
12989.9,0.9057,0.11
12990.08,1.0564,0.11
12990.26,0.8963,0.11
12990.45,0.8145,0.11
12990.63,0.8802,0.11
12990.82,0.8753,0.11
12991.0,0.7762,0.11
12991.19,0.6954,0.11
12991.37,0.5001,0.11
12991.56,0.5694,0.11
12991.74,0.7493,0.11
12991.93,0.8538,0.11
12992.11,0.6904,0.11
12992.29,1.012,0.11
12992.48,0.9788,0.11
12992.66,1.046,0.11
12992.85,1.1078,0.11
12993.03,1.1305,0.11
12993.22,1.1459,0.11
12993.4,0.9124,0.11
12993.59,1.1274,0.11
12993.77,0.9614,0.11
12993.96,0.8713,0.11
12994.14,1.0099,0.11
12994.32,0.8486,0.11
12994.51,0.7418,0.11
12994.69,0.5573,0.11
12994.88,0.8236,0.11
12995.06,0.8062,0.11
12995.25,0.8599,0.11
12995.43,0.9926,0.11
12995.62,1.0871,0.11
12995.8,1.0853,0.11
12995.99,1.0174,0.11
12996.17,0.9003,0.11
12996.36,1.0548,0.11
12996.54,1.1892,0.11
12996.72,0.7996,0.11
12996.91,0.8401,0.11
12997.09,0.8569,0.11
12997.28,0.7647,0.11
12997.46,0.9448,0.11
12997.65,0.7491,0.11
12997.83,0.9586,0.11
12998.02,0.6668,0.11
12998.2,1.0266,0.11
12998.39,1.1922,0.11
12998.57,1.1984,0.11
12998.76,1.1173,0.11
12998.94,1.1536,0.11
12999.12,1.1636,0.11
12999.31,1.1677,0.11
12999.49,1.0814,0.11
12999.68,1.0585,0.11
12999.86,1.3116,0.11
13000.05,1.0991,0.11
13000.23,1.2526,0.11
13000.42,0.8452,0.11
13000.6,0.8894,0.11
13000.79,0.9316,0.11
13000.97,0.8299,0.11
13001.16,0.9306,0.11
13001.34,0.7719,0.11
13001.52,0.8511,0.11
13001.71,1.0428,0.11
13001.89,0.9716,0.11
13002.08,0.962,0.11
13002.26,0.9817,0.11
13002.45,1.0957,0.11
13002.63,0.9848,0.11
13002.82,0.9968,0.11
13003.0,1.1192,0.11
13003.19,0.8301,0.11
13003.37,0.8897,0.11
13003.56,0.8288,0.11
13003.74,0.9082,0.11
13003.92,0.9948,0.11
13004.11,1.1014,0.11
13004.29,1.009,0.11
13004.48,1.3237,0.11
13004.66,1.0998,0.11
13004.85,1.1233,0.11
13005.03,1.2097,0.11
13005.22,1.1103,0.11
13005.4,1.1893,0.11
13005.59,0.9366,0.11
13005.77,0.9395,0.11
13005.96,0.9948,0.11
13006.14,1.2075,0.11
13006.33,0.9568,0.11
13006.51,1.1141,0.11
13006.69,1.0094,0.11
13006.88,1.3039,0.11
13007.06,1.2161,0.11
13007.25,1.1533,0.11
13007.43,1.1991,0.11
13007.62,1.1438,0.11
13007.8,1.1632,0.11
13007.99,0.98,0.11
13008.17,1.0654,0.11
13008.36,0.9861,0.11
13008.54,0.8558,0.11
13008.73,1.1247,0.11
13008.91,1.1336,0.11
13009.09,1.1476,0.11
13009.28,1.0654,0.11
13009.46,0.8675,0.11
13009.65,0.9909,0.11
13009.83,0.9452,0.11
13010.02,0.8155,0.11
13010.2,0.6853,0.11
13010.39,0.7245,0.11
13010.57,0.6253,0.11
13010.76,0.552,0.11
13010.94,0.6566,0.11
13011.12,0.8189,0.11
13011.31,0.7471,0.11
13011.49,0.8145,0.11
13011.68,0.7928,0.11
13011.86,0.7107,0.11
13012.05,0.7949,0.11
13012.23,0.9158,0.11
13012.42,0.9242,0.11
13012.6,0.5915,0.11
13012.79,0.8865,0.11
13012.97,0.6848,0.11
13013.16,0.8016,0.11
13013.34,0.7751,0.11
13013.52,0.7775,0.11
13013.71,0.6038,0.11
